Index,Latitude,Longitude,Köppen Classification,Climate Description
1,40.931199,-78.962248,Cfa,"Humid subtropical"
2,39.825541,-76.091957,Cfa,"Humid subtropical"
3,44.743869,-81.138684,Dfa,"Hot-summer humid continental"
4,43.182632,-89.214320,Dfa,"Hot-summer humid continental"
5,37.424596,-81.009590,Cfa,"Humid subtropical"
6,40.614129,-83.132151,Dfa,"Hot-summer humid continental"
7,33.233898,-83.946616,Cfa,"Humid subtropical"
8,38.857366,-80.314983,Dfa,"Hot-summer humid continental"
9,40.732973,-89.738304,Dfa,"Hot-summer humid continental"
10,42.460940,-79.394489,Dfa,"Hot-summer humid continental"
11,40.679319,-73.666547,Cfa,"Humid subtropical"
12,40.625128,-74.117559,Cfa,"Humid subtropical"
13,42.830629,-108.722943,BSk,"Cold semi-arid (steppe)"
14,50.173829,-97.135148,Dfb,"Warm-summer humid continental"
15,40.796792,-73.035870,Cfa,"Humid subtropical"
16,45.092132,-63.397339,Dfb,"Warm-summer humid continental"
17,42.523758,-83.952956,Dfa,"Hot-summer humid continental"
18,42.314295,-88.447718,Dfa,"Hot-summer humid continental"
19,36.169361,-115.190691,BWk,"Cold desert"
20,40.901422,-75.497874,Cfa,"Humid subtropical"
21,35.782187,-78.641486,Cfa,"Humid subtropical"
22,39.965860,-76.729263,Cfa,"Humid subtropical"
23,51.190834,-114.000889,Dfb,"Warm-summer humid continental"
24,40.418127,-76.299923,Cfa,"Humid subtropical"
25,40.571618,-76.367659,Cfa,"Humid subtropical"
26,42.409403,-71.333952,Dfa,"Hot-summer humid continental"
27,39.689015,-104.826917,BSk,"Cold semi-arid (steppe)"
28,41.755539,-72.522117,Cfa,"Humid subtropical"
29,41.210911,-74.696854,Cfa,"Humid subtropical"
30,40.024779,-105.227156,BSk,"Cold semi-arid (steppe)"
31,45.936462,-60.300551,Dfb,"Warm-summer humid continental"
32,30.304515,-97.938430,Cfa,"Humid subtropical"
33,43.124424,-80.754424,Dfa,"Hot-summer humid continental"
34,48.514347,-64.399683,Dfb,"Warm-summer humid continental"
35,42.815626,-81.552515,Dfa,"Hot-summer humid continental"
36,47.812527,-122.381896,Cfb,"Oceanic/Marine west coast"
37,41.209720,-73.184321,Cfa,"Humid subtropical"
38,38.909739,-77.043891,Cfa,"Humid subtropical"
39,34.166675,-86.119277,Cfa,"Humid subtropical"
40,39.101475,-78.194515,Cfa,"Humid subtropical"
41,42.724587,-78.673269,Dfa,"Hot-summer humid continental"
42,39.997914,-76.857168,Cfa,"Humid subtropical"
43,43.020839,-79.362985,Dfa,"Hot-summer humid continental"
44,41.973560,-77.201705,Cfa,"Humid subtropical"
45,40.109121,-76.504311,Cfa,"Humid subtropical"
46,40.336070,-75.907833,Cfa,"Humid subtropical"
47,41.583047,-93.620660,Dfa,"Hot-summer humid continental"
48,41.901251,-72.081520,Cfa,"Humid subtropical"
49,35.680091,-78.627916,Cfa,"Humid subtropical"
50,39.892152,-75.257214,Cfa,"Humid subtropical"
51,41.681811,-83.667513,Dfa,"Hot-summer humid continental"
52,39.933537,-82.501816,Dfa,"Hot-summer humid continental"
53,43.607833,-116.204914,BSk,"Cold semi-arid (steppe)"
54,37.069981,-76.481819,Cfa,"Humid subtropical"
55,40.290503,-75.382345,Cfa,"Humid subtropical"
56,29.929543,-94.274335,Cfa,"Humid subtropical"
57,34.715952,-86.541882,Cfa,"Humid subtropical"
58,48.522483,-117.891272,Dfb,"Warm-summer humid continental"
59,49.159641,-124.050375,Cfb,"Oceanic/Marine west coast"
60,41.130325,-84.863373,Dfa,"Hot-summer humid continental"
61,39.936298,-120.952374,BSk,"Cold semi-arid (steppe)"
62,41.263460,-81.252630,Dfa,"Hot-summer humid continental"
63,42.766978,-82.183256,Dfa,"Hot-summer humid continental"
64,26.574715,-81.983681,Am,"Tropical monsoon"
65,41.263460,-73.730782,Cfa,"Humid subtropical"
66,43.512860,-65.611397,Dfb,"Warm-summer humid continental"
67,40.246767,-76.467759,Cfa,"Humid subtropical"
68,45.510057,-122.715826,Cfb,"Oceanic/Marine west coast"
69,34.622974,-83.867689,Cfa,"Humid subtropical"
70,39.303483,-85.773107,Dfa,"Hot-summer humid continental"
71,43.031528,-88.042446,Dfa,"Hot-summer humid continental"
72,35.457405,-78.642181,Cfa,"Humid subtropical"
73,33.487047,-86.779405,Cfa,"Humid subtropical"
74,40.058801,-76.307298,Cfa,"Humid subtropical"
75,42.766978,-82.183256,Dfa,"Hot-summer humid continental"
76,40.767451,-74.283904,Cfa,"Humid subtropical"
77,50.240013,-119.291526,Dfb,"Warm-summer humid continental"
78,40.121325,-76.664452,Cfa,"Humid subtropical"
79,39.652866,-78.764687,Cfa,"Humid subtropical"
80,40.683400,-96.275107,Dfa,"Hot-summer humid continental"
81,40.870382,-72.545956,Cfa,"Humid subtropical"
82,42.115702,-88.336244,Dfa,"Hot-summer humid continental"
83,42.264294,-71.766602,Dfa,"Hot-summer humid continental"
84,35.243478,-82.776996,Cfa,"Humid subtropical"
85,39.788635,-84.201991,Dfa,"Hot-summer humid continental"
86,40.121325,-76.664452,Cfa,"Humid subtropical"
87,35.243478,-82.776996,Cfa,"Humid subtropical"
88,39.791090,-76.985847,Cfa,"Humid subtropical"
