"","id","longitude","latitude","rndCoord.lon","rndCoord.lat","ClimateZ","climate_type"
"1",1,-78.9622483,40.9311988,-78.75,40.75,"Dfb","Continental No Dry Season Warm Summer"
"2",2,-76.0919567,39.8255413,-76.25,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"3",3,-81.1386838,44.7438686,-81.25,44.75,"Dfb","Continental No Dry Season Warm Summer"
"4",4,-89.2143204,43.1826322,-89.25,43.25,"Dfb","Continental No Dry Season Warm Summer"
"5",5,-81.0095902,37.4245956,-81.25,37.25,"Cfb","Temperate No Dry Season Warm Summer"
"6",6,-83.1321507,40.6141291,-83.25,40.75,"Dfa","Continental No Dry Season Hot Summer"
"7",7,-83.9466163,33.233898,-83.75,33.25,"Cfa","Temperate No Dry Season Hot Summer"
"8",8,-80.3149827,38.8573662,-80.25,38.75,"Cfb","Temperate No Dry Season Warm Summer"
"9",9,-89.7383042,40.732973,-89.75,40.75,"Dfa","Continental No Dry Season Hot Summer"
"10",10,-79.3944887,42.4609398,-79.25,42.25,"Dfb","Continental No Dry Season Warm Summer"
"11",11,-73.6665466,40.6793192,-73.75,40.75,"Cfa","Temperate No Dry Season Hot Summer"
"12",12,-74.1175587,40.6251281,-74.25,40.75,"Cfa","Temperate No Dry Season Hot Summer"
"13",13,-108.722943,42.830629,-108.75,42.75,"BSk","Dry Steppe Cold"
"14",14,-97.1351477,50.1738294,-97.25,50.25,"Dfb","Continental No Dry Season Warm Summer"
"15",15,-73.0358701,40.7967917,-73.25,40.75,"Cfa","Temperate No Dry Season Hot Summer"
"16",16,-63.397339,45.0921321,-63.25,45.25,"Dfb","Continental No Dry Season Warm Summer"
"17",17,-83.9529562,42.523758,-83.75,42.75,"Dfb","Continental No Dry Season Warm Summer"
"18",18,-88.4477184,42.3142948,-88.25,42.25,"Dfa","Continental No Dry Season Hot Summer"
"19",19,-115.1906908,36.1693608,-115.25,36.25,"BWk","Dry Desert Cold"
"20",20,-75.497874,40.9014222,-75.25,40.75,"Dfa","Continental No Dry Season Hot Summer"
"21",21,-78.6414861,35.7821867,-78.75,35.75,"Cfa","Temperate No Dry Season Hot Summer"
"22",22,-76.729263,39.9658603,-76.75,39.75,"Cfa","Temperate No Dry Season Hot Summer"
"23",23,-114.0008889,51.1908339,-114.25,51.25,"Dfc","Continental No Dry Season Cold Summer"
"24",24,-76.2999232,40.4181266,-76.25,40.25,"Cfa","Temperate No Dry Season Hot Summer"
"25",25,-76.3676593,40.5716175,-76.25,40.75,"Dfa","Continental No Dry Season Hot Summer"
"26",26,-71.3339523,42.4094032,-71.25,42.25,"Dfa","Continental No Dry Season Hot Summer"
"27",27,-104.8269175,39.6890151,-104.75,39.75,"BSk","Dry Steppe Cold"
"28",28,-72.5221167,41.7555391,-72.75,41.75,"Dfa","Continental No Dry Season Hot Summer"
"29",29,-74.6968543,41.2109112,-74.75,41.25,"Dfb","Continental No Dry Season Warm Summer"
"30",30,-105.2271559,40.0247794,-105.25,40.25,"BSk","Dry Steppe Cold"
"31",31,-60.3005507,45.9364617,-60.25,45.75,"Dfb","Continental No Dry Season Warm Summer"
"32",32,-97.93843,30.304515,-97.75,30.25,"Cfa","Temperate No Dry Season Hot Summer"
"33",33,-80.7544241,43.124424,-80.75,43.25,"Dfb","Continental No Dry Season Warm Summer"
"34",34,-64.3996831,48.5143473,-64.25,48.75,"Dfb","Continental No Dry Season Warm Summer"
"35",35,-81.5525152,42.8156259,-81.75,42.75,"Dfb","Continental No Dry Season Warm Summer"
"36",36,-122.3818957,47.812527,-122.25,47.75,"Csb","Temperate Dry Summer Cold Summer"
"37",37,-73.1843214,41.2097196,-73.25,41.25,"Cfa","Temperate No Dry Season Hot Summer"
